title_spanish,tconst,actors,director,writter
Buscando justicia,tt4916630,"nm0004937,nm11324875,nm0362268",nm2308774,nm2308774
La noche del solsticio de verano,tt27933302,"nm5625184,nm0000278,nm0832509",,nm8391994
Ahora o nunca,tt4161962,"nm3657043,nm1482999,nm0844983",nm0728048,nm2703276
El regreso del Rey: Declive y resurgimiento de Elvis Presley,tt34139335,"nm0004596,nm0004842,nm0001168",nm2629370,
El Bola,tt0243794,"nm0050749,nm0303580,nm0319850",nm0563748,nm0563748
Cromosoma 21,tt22185440,"nm2111688,nm0871801,nm5040021",,nm2151391
Hanna,tt0993842,"nm1519680,nm0051509,nm3043279",nm0942504,nm2605946
City of Angels,tt0120632,"nm0000115,nm0000212,nm0105672",nm0797869,nm0000694
La boda de Rosa,tt10077544,"nm0679150,nm0530365,nm1208191",nm0093081,nm0093081
Steven Universe,tt3061046,"nm2642131,nm0536281,nm2007163",,nm3566987
Archivo 81,tt13365348,"nm6974206,nm4140727,nm2797756",,nm8225205
El mayor criptorrobo de la historia,tt18224682,"nm16822776,nm16822777,nm16827776",nm0807687,
Traición,tt7197710,"nm0006702,nm0022261,nm1208191",,nm1202178
Black Clover: La espada del rey mago,tt22868844,"nm6548466,nm3631965,nm0089707",nm9734896,nm14157504
El abuelo y Kid,tt32921458,"nm0868381,nm8576420,nm6802085",nm2085734,nm2085734
Ojitos de huevo,tt27787856,"nm6001562,nm3683327,nm0307143",,nm8205128
Voces,tt11750282,"nm0761110,nm2798915,nm0054381",nm3026803,nm1639473
Escena del crimen: Muerte nocturna en Berlín,tt31592633,"nm15948578,nm16001284,nm16001279",,nm8116424
La voz de Makayla: Una carta para el mundo,tt31048311,nm1875091,nm12017542,nm16520137
The Midnight Gospel,tt11639414,"nm1042825,nm1976002,nm0224995",,nm1664562
My Hero Academia: El despertar de los héroes,tt11107074,"nm5693918,nm2462004,nm2719774",nm2568279,nm9484837
Beats,tt7524414,"nm10388731,nm4282639,nm0292182",nm2965282,nm9389701
En la mente criminal,tt35747160,,,
El teléfono del señor Harrigan,tt12908110,"nm0000661,nm5897057,nm3117884",nm0359387,nm0359387
RRR,tt8178634,"nm1694524,nm2776304,nm0222426",nm1442514,nm2353436
Anthony Jeselnik: Bones and All,tt10168670,"nm12912851,nm5347988,nm2428245",nm0345174,nm1738734
"El ultimátum: Amor ""queer""",tt22326484,"nm11083381,nm14954995,nm14954994",,
Torque: Rodando al límite,tt0329691,"nm0007167,nm0066586,nm0176981",nm0994538,nm0425780
El naufragio,tt28348835,"nm3738785,nm6595080,nm8358247",,nm3015442
Corazones malheridos,tt4614584,"nm6259860,nm5954280,nm7483475",nm0020491,nm2974419
La víctima número 8,tt8500086,"nm5973647,nm7328813,nm0602518",,nm2831294
La víctima invisible: El caso Eliza Samudio,tt33355991,"nm16561106,nm5110277,nm16561123",nm8694700,nm10283624
Lo desconocido: La pirámide perdida,tt27837387,"nm0369931,nm10604699,nm12033392",nm1274214,
Fuerza Espacial,tt9612516,"nm0136797,nm0000518,nm2355635",,nm0136797
Sturgill Simpson Presents Sound & Fury,tt10682000,nm11022102,nm0034712,nm2459558
El otro lado de la cama,tt0301524,"nm0022764,nm0891895,nm0865950",nm0554880,nm0785515
Nayanthara: Beyond the Fairy Tale,tt22297698,"nm0015459,nm0030791,nm5961051",nm4303518,
Deber/Vergüenza,tt8001106,"nm3042346,nm0531808,nm0473577",,nm3620967
Historias de Chesapeake,tt5151816,"nm0651441,nm0018271,nm4371603",,nm0799012
Los rompecorazones,tt0108800,"nm0612534,nm0185123,nm0733928",,nm0680067
Después de la lluvia,tt5728410,"nm2975114,nm8149395,nm6070336",nm6373466,nm6373466
Ruido mental,tt21326658,"nm3146594,nm1760156,nm0508085",nm2536176,nm6414835
Kaulitz y Kaulitz,tt31806050,"nm2136409,nm2174546,nm14228107",,nm16308631
Descongélate!,tt0380311,"nm0631326,nm0679150,nm0508249",nm0043675,nm0043675
No atiendas esa llamada,tt23826740,"nm1555732,nm3206618,nm6434916",,
Technoboys,tt31487553,"nm0646568,nm1645334,nm6001562",nm4336150,nm1865974
En la mente de un gato,tt21340412,"nm5438445,nm14007575,nm13982207",nm2214369,
El juego del calamar: Chimenea,tt10919420,"nm0497631,nm1059827,nm1601080",,nm1375363
Sirena: ¿Quién sobrevivirá a la isla?,tt27664503,"nm14945770,nm14945779,nm14945648",,
Sprint: Los humanos más veloces,tt28669701,"nm1738486,nm11461796,nm1219858",,
Blue Ribbon Baking Championship,tt32897271,"nm0004755,nm1747011,nm1787586",,
Robo,tt29623480,"nm2143282,nm0050959,nm5598573",nm0761498,nm0761498
Vijay 69,tt27671792,"nm0451600,nm10926671,nm0659233",nm1541119,nm1541119
Pulang: Regresa a casa,tt8595708,"nm2879092,nm9925364,nm1908521",nm1755171,nm2523150
Into the Night,tt10919486,"nm3011788,nm0135084,nm0476011",,nm5404569
Apostando al límite,tt0417217,"nm0000199,nm0000190,nm0000623",nm0142286,nm0319659
Navidad de golpe,tt14715170,"nm0517820,nm3432881,nm2965226",nm0078943,nm2602637
Siempre fiel,tt20119468,"nm1476196,nm1504719,nm0618574",nm0244011,nm7627236
Parker,tt1904996,"nm0005458,nm0000182,nm0004821",nm0000431,nm0572352
Una reina en su tierra,tt10062046,"nm8993929,nm3662558,nm1833575",,nm9577823
Predadores,tt1424381,"nm0004778,nm0333410,nm0103797",nm0030735,nm0514821
Wham!,tt27726927,"nm1277950,nm0584117,nm1001770",nm0807687,nm1149420
Malasaña 32,tt10952782,"nm9603580,nm4408584,nm1123309",nm3691012,nm1202178
"En vivo desde el más allá, con Tyler Henry",tt33096473,"nm1867685,nm10912850,nm7791683",,
Marbella es un lujo,tt31828643,"nm0493188,nm15941849,nm15941850",,
Maple Leaf Dreams,tt27197375,"nm8877582,nm9271917,nm0785281",nm2085734,nm2085734
Un amor real por Navidad,tt28188089,"nm0005211,nm1575378,nm0357605",nm0909568,nm4426398
Si lo hubiera sabido,tt14463608,"nm1892699,nm3816157,nm2087841",,nm12492257
"Kenshin, el guerrero samurái 2: Infierno en Kioto",tt3029558,"nm2615398,nm3191754,nm0297885",nm3311094,nm0914941
Vidas ajenas,tt0362359,"nm0001251,nm0746414,nm1360270",,nm0777300
Navidad en la avenida del molino,tt28152535,"nm0614877,nm8212651,nm0071904",nm0564260,nm11103711
Hasta que nos volvamos a encontrar,tt14404596,"nm0147310,nm1224068,nm3105997",nm0960495,nm0960495
Break Point,tt0102685,"nm0000664,nm0000206,nm0000997",nm0000941,nm0004488
Chicas Con Pelotas,tt4725842,"nm6113836,nm2442560,nm2404515",nm1618621,nm1602776
Traidores,tt8477780,"nm6623506,nm9868606,nm11955099",nm6623506,nm6623506
La reina Cleopatra,tt27528139,"nm0000586,nm7857440,nm1378553",,nm12880921
Hasta el cielo: La serie,tt18273742,"nm2399032,nm0869088,nm9337057",,nm0130714
El legado,tt8103070,"nm5994559,nm7263948,nm7875835",,nm0687096
Hechos polvo,tt11097240,"nm2645189,nm1214657,nm3992415",,nm4548432
Freddy contra Jason,tt0329101,"nm0000387,nm0457090,nm0444621",nm0950553,nm0000127
El último baile de Magic Mike,tt16280138,"nm14546933,nm1475594,nm12365213",nm0001752,nm1730221
Johnny English: De nuevo en acción,tt6921996,"nm0253126,nm0000668,nm0416253",nm1256143,nm0204030
A todo gas,tt0232500,"nm0908094,nm0004874,nm0735442",nm0003418,nm0508446
Wild Wild Country,tt7768848,"nm4222336,nm2873609,nm6579788",,
El pregón,tt4866712,"nm0119174,nm2015004,nm0764450",nm1738082,nm3305734
Intimidad,tt14463542,"nm1523587,nm3802082,nm1531585",,nm0273785
Hijas,tt32872848,"nm0815244,nm0305589,nm5738712",,nm8993872
La ventana secreta,tt0363988,"nm0000136,nm0001806,nm0004742",nm0462895,nm0000175
Te esperaré en Venus,tt14960612,"nm4722966,nm6269125,nm0004900",nm1402741,nm9075909
Maamannan,tt20242416,"nm0883014,nm1335704,nm7146337",nm6041683,nm6041683
Reptiles,tt13274016,"nm0001125,nm0005493,nm0091899",nm3026537,nm3026537
Los pacientes del doctor García,tt17075746,"nm2626646,nm0636991,nm1531585",,nm0334839
Bajo cubierta en un velero,tt29717188,"nm6648873,nm7684201,nm8805962",nm8805962,nm8805962
Mi gran noche,tt4412362,"nm0710687,nm1832584,nm0631326",nm0407067,nm0346277
Ninja Turtles,tt0100758,"nm0387432,nm0000480,nm0656929",nm0006625,nm0247653
Buddy,tt7070818,"nm2045884,nm0001143,nm0241049",nm0241049,nm0241049
Verano 1993,tt5897636,"nm8804503,nm9271966,nm4264236",nm3427032,nm3427032
"Yuusha, Yamemasu",tt15723722,"nm2770525,nm7770751,nm0160049",,nm16087449
City Hunter,tt24478470,"nm0840660,nm5979067,nm0027942",nm1104340,nm0405783
Si yo fuera Luísa Sonza,tt8380554,"nm1324700,nm1417272,nm6723419",,nm3778967
Parasyte: The Maxim,tt3358020,"nm1435774,nm4858403,nm13643165",,nm1703680
Save the Children,tt0111444,"nm0001796,nm0187724,nm0824763",nm0827854,nm0937197
Fauces de la noche,tt10763820,"nm7449863,nm2913275,nm4867258",nm1726691,nm10893544
El juego bonito,tt5113010,"nm7906702,nm11834620,nm15983706",nm4824763,nm0101639
Killing Words,tt4273422,,nm6972137,nm6972137
¿Quién es el topo?,tt21822078,"nm4757938,nm5885623,nm14119626",,nm0210916
Escape Room: Sin salida,tt5886046,"nm5347988,nm2383250,nm1337350",nm0733263,nm0776885
Una familia normal,tt22780536,"nm0071078,nm10204967,nm0442436",,nm15375192
Casi Navidad,tt4649416,"nm0000418,nm0005517,nm0594898",nm0847859,nm0847859
El espíritu de la colmena,tt0070040,"nm0273178,nm0319834,nm0868479",nm0258977,nm0273335
Hacia el lago,tt9151230,"nm1874211,nm3539159,nm4030124",,nm2984444
¿Cómo sabes si...?,tt1341188,"nm0000702,nm0748620,nm0005562",nm0000985,nm0000985
Magic Mike XXL,tt2268016,"nm1475594,nm0682138,nm0085994",nm0414423,nm1730221
Annabelle,tt3322940,"nm1834115,nm1782235,nm0024593",nm0502954,nm2477891
Kitz,tt12104930,"nm10447640,nm6829736,nm9686085",,nm4123987
Transformadores: Chispa de tierra,tt14298658,"nm4273524,nm3111065,nm10239761",,nm3257664
Atlas,tt14856980,"nm0000182,nm4855517,nm1250791",nm0679031,nm6191392
Savi,tt32308617,"nm1539788,nm4626627,nm16399398",nm3218978,nm9767354
Sherlock Holmes: Juego de sombras,tt1515091,"nm0000375,nm0000179,nm0636426",nm0005363,nm1802251
Viviendas de lujo en Londres,tt31806036,"nm15169156,nm16180322,nm9066030",,nm1246291
Juego limpio,tt0486070,"nm0720465,nm2083338,nm1371940",,nm1410073
NiNoKuni,tt9760504,"nm4081467,nm5018289,nm10247516",nm1077423,nm1757129
MILF,tt7205316,"nm0001461,nm0189887,nm0480831",nm0480831,nm0478322
Triple frontera,tt1488606,"nm0000255,nm1209966,nm0402271",nm1170855,nm1676793
No habrá paz para los malvados,tt1661862,"nm0180580,nm0761110,nm2865013",nm0881762,nm0311132
Criminales en el mar,tt1618434,"nm0001191,nm0000098,nm1812656",nm1760830,nm0888743
Socias y enemigas,tt7545266,"nm1840504,nm0126284,nm0000161",nm0037708,nm2850785
La chica de los cigarrillos,tt7739854,"nm1884975,nm4254660,nm1110200",nm1648003,nm0763634
Ven a Jugar,tt8004664,"nm7309485,nm1843026,nm0302330",nm0153774,nm0153774
Ninja Turtles: Fuera de las sombras,tt3949660,"nm1083271,nm0004715,nm0001473",nm1757777,nm0032227
¿Es una tarta? Edición fiestas,tt34247552,"nm1510062,nm12092151,nm13057133",,
Una hija diferente,tt0361620,"nm0005017,nm0089456,nm1399051",nm0001845,nm0070566
La carta final,tt0090570,"nm0000843,nm0000164,nm0001132",nm0427880,nm0359815
Downton Abbey,tt1606375,"nm0095017,nm3882295,nm0141697",,nm0271501
La familia perfecta,tt11924738,"nm0749104,nm0180580,nm0207891",nm0248401,nm3374735
A la caza del asesino,tt11656220,"nm0386472,nm1083271,nm0000246",nm0256542,nm8190795
Lilyhammer,tt1958961,"nm0005523,nm0042212,nm1015546",,nm1100186
La casa,tt6468322,"nm2216549,nm1486647,nm1523587",,nm1210565
La isla negra,tt12881516,"nm11809955,nm0214280,nm0957193",nm0018877,nm0018877
Solteras,tt6736198,"nm2574226,nm0209268,nm0145102",nm1514537,nm1514537
Gold Brick,tt10308878,"nm0000412,nm1710309,nm1083271",nm2693238,nm2693238
Comedy Revenge,tt7051624,"nm2059117,nm2885819,nm1248393",nm1838841,nm8179784
"Extremadamente cruel, malvado y perverso",tt2481498,"nm2934314,nm1374980,nm1494168",nm0075666,nm10601084
Partners in Crime,tt3574152,"nm3565962,nm0909144,nm0281424",,nm0002005
Jóvenes altezas,tt14664414,"nm4454344,nm7435772,nm6379323",,nm1087368
Taylor Swift: Miss Americana,tt11388580,"nm2357847,nm3736419,nm4343457",nm5300836,
Felicidad para principiantes,tt15509244,"nm2608689,nm2093766,nm4456672",nm0907328,nm0907328
De vuelta a los 15,tt15301854,"nm5278142,nm10928903,nm5118473",,nm3238704
Al rescate de Fondo de Bikini: La película de Arenita Mejillas,tt23063732,"nm0492657,nm0444786,nm0492951",nm1637785,nm1684615
Me llamo Venganza,tt15229674,"nm0309348,nm9698919,nm4606441",nm0326995,nm2016655
Winter on Fire,tt4908644,"nm6604597,nm7653951,nm6604595",nm1017958,nm5236230
Slasher,tt4667888,"nm0415066,nm1273957,nm0889120",,nm0551861
Atrapaalmas,tt28290233,"nm4934471,nm0464522,nm0690432",nm10625383,nm11982412
Millennials,tt12227976,"nm8350482,nm0092774,nm7324767",,nm0931409
Artículo 370,tt30970235,"nm4417069,nm1421465,nm7052812",nm8915138,nm2336554
Alexa & Katie,tt6916746,"nm5514372,nm8908475,nm0420884",,nm1507437
Alguien está mintiendo,tt8354062,"nm6346552,nm9858049,nm4765467",,nm9807406
Sin cerrojos: Un experimento carcelario,tt31722999,"nm16061283,nm16061460,nm16061445",,
La clásica historia de terror,tt12877640,"nm4436761,nm7008753,nm0563686",nm3248608,nm7505663
Es por tu bien,tt5790492,"nm0194572,nm0180580,nm0959304",nm1724912,nm1990571
Ludik,tt21341988,"nm13983697,nm12793034,nm0903677",,nm3724694
Falso amor,tt28022865,,,
The Haunting of Margam Castle,tt10648146,"nm0626352,nm0581457,nm0613098",nm2096009,nm2791902
Secretos del deporte: Hope Solo contra la Federación de Fútbol de EE. UU.,tt15402976,"nm3391608,nm2481329,nm5931839",,nm1331494
Celebridad,tt26315488,"nm9180058,nm6003243,nm3979780",,nm2083054
Carancho,tt1542852,"nm0201857,nm2845889,nm4880809",nm0871086,nm1375024
Infiesto,tt15789492,"nm1929945,nm4170579,nm0119650",nm0025538,nm0025538
El caso Alcàsser,tt8033244,"nm3251915,nm1119672,nm1202178",,nm1202178
Terror y feria,tt8951078,"nm4079583,nm0869055,nm4650038",,nm4079583
Fabricante de lágrimas,tt29114029,"nm10863779,nm15253519,nm0661000",nm3500190,nm0278567
Shahmaran,tt16913068,"nm3020763,nm6541188,nm1579662",,nm3660814
Lo Desconocido: Los Robots Asesinos,tt27837442,"nm5207738,nm2556180,nm8233263",nm1497006,
DC Liga de supermascotas,tt8912936,"nm0425005,nm0366389,nm0571952",nm2972864,nm2972864
Marcados al nacer,tt13871094,"nm3909380,nm0204171,nm3051280",nm2141317,nm8643942
La vorágine,tt0220143,"nm0130922,nm0014383,nm0017202",nm0951492,nm0729311
Serpiente de cascabel,tt9257484,"nm0252238,nm0744331,nm4563896",nm1991847,nm1991847
El negocio del dolor,tt15257160,"nm1289434,nm0262635,nm0001573",nm0946734,nm2862509
Lift: Un robo de primera clase,tt14371878,"nm0366389,nm1813221,nm0941777",nm0336620,nm2896816
Step Up 3 - 3D,tt1193631,"nm2463696,nm1782560,nm1801800",nm0160840,nm3655562
Medicina letal,tt11816814,"nm2499064,nm0000111,nm2018237",,nm2873116
Lobo vikingo,tt13051810,"nm9602953,nm4085883,nm1203571",nm1457169,nm1985040
Las vacaciones de Mr. Bean,tt0453451,"nm0000100,nm0671487,nm1372570",nm0070436,nm0000100
Godzilla vs. Kong,tt5034838,"nm0002907,nm5611121,nm0356017",nm1417392,nm0744429
The King,tt7984766,"nm6077951,nm5994557,nm1433660",nm2391575,nm2391575
La reina de las lágrimas,tt27668559,"nm4633543,nm4548586,nm8685855",,nm3638267
Transmitzvah,tt32598478,"nm0016864,nm0043389,nm12556371",nm0122184,nm0122184
Good Witch,tt3906732,"nm0004738,nm0228324,nm0219835",,nm2778574
Kabaneri de la Fortaleza de Hierro,tt5556656,"nm0642601,nm1886746,nm7583837",,nm1964051
Misión imposible 3,tt0317919,"nm0000129,nm0000450,nm0000609",nm0009190,nm0476064
La Llorona,tt10767168,"nm7241318,nm10428193,nm5356128",nm3563342,nm3563342
Next in Fashion,tt10394770,"nm9614109,nm2066104,nm4676882",,
Kung Fu Sion,tt0373074,"nm0159507,nm0271815,nm0950757",nm0159507,nm0159507
Ersan Kuneri,tt13238304,"nm0948000,nm0019338,nm1281073",,nm0948000
WHAT DID JACK DO?,tt29549619,nm14141319,nm15378010,nm15378010
Fighter,tt0964517,"nm0000242,nm0000288,nm0010736",nm0751102,nm2565612
La venganza de las Juanas,tt15377930,"nm2655445,nm2288520,nm5710079",,nm14764839
Matilda de Roald Dahl: El musical,tt3447590,"nm10341836,nm0000668,nm2736476",nm0911334,nm2393111
La dama de los muertos,tt5569404,"nm1031534,nm1798233,nm4940565",,nm1762339
Guerra de novias,tt0901476,"nm0005028,nm0004266,nm1034965",nm0935095,nm0220045
Conquer: Lahad Datu,tt30526240,"nm10224401,nm4311703,nm9585967",nm8761802,nm8761802
La maldición de la soga 3,tt0325980,"nm0000136,nm0001691,nm0089217",nm0893659,nm0254645
Katla,tt11102190,"nm12446957,nm8286240,nm0797614",,nm0251033
Premonición,tt0219699,"nm0000949,nm0000610,nm0000206",nm0000600,nm0000671
Campamento con mamá,tt29368988,"nm0649638,nm11646047,nm0706567",nm1033768,nm2589728
D. B. Cooper: ¡Dónde estás?,tt21063148,"nm12824034,nm0170309,nm5110406",,
Sin pudor,tt13978306,"nm0000192,nm0656335,nm0918616",nm0593618,nm0731465
El lado dulce de la traición,tt26787296,"nm4535489,nm1596202,nm12281761",nm5735886,nm15252111
Bosque adentro,tt1910645,"nm0198812,nm1377449,nm9308736",,nm1454192
El autor,tt5451244,"nm0349522,nm2725254,nm2431367",nm0554532,nm1333440
Armas y amores,tt17524566,"nm3822770,nm4921260,nm3841091",,nm5046012
Perdiendo el norte,tt3500544,"nm2304398,nm1694256,nm0840754",nm1818121,nm1615028
Manolito Gafotas,tt0206117,"nm0215803,nm0654841,nm0959575",nm0016234,nm0016234
El caso Laci Peterson: El marido perfecto,tt33079160,"nm1878527,nm8985025,nm9370354",,
Con tacto especial,tt26314390,"nm1617711,nm2523105,nm10623873",,
Las formas antiguas,tt12829958,"nm3100064,nm3921891,nm0893558",nm0002572,nm0300255
El guardián invisible,tt4924942,"nm1011070,nm0617799,nm4729886",nm2692858,nm1084937
"Calle de la Humanidad, 8",tt1093357,"nm0386472,nm1880888,nm1540404",nm0329755,nm3123612
Espíritu libre,tt2353868,"nm10752061,nm7509279,nm0193295",nm1417049,nm1417049
Vórtice,tt0105785,"nm0138950,nm0007235,nm0276758",nm0219959,nm0973818
La Ciguapa Siempre,tt14030824,"nm11234141,nm8121704,nm6083961",nm6731530,nm6731530
Rebellion,tt4699982,"nm1854222,nm6616960,nm2244852",,nm4199667
"Telma, la unicornio",tt10442352,"nm5498046,nm0287182,nm1417647",nm0381478,nm0381478
El perfumista,tt10788106,"nm7928033,nm9952204,nm3763005",nm8652337,nm10904356
Orígenes secretos,tt5827790,"nm2626646,nm1531585,nm5880529",nm2805715,nm2805715
Blanco humano,tt0107076,"nm0679326,nm0032050,nm0903677",nm0000247,nm0679326
Dinner Time Live with David Chang,tt31035004,"nm3129350,nm5672607,nm0054697",,
El año en que empecé a masturbarme,tt15411160,"nm2316016,nm3723643,nm2172895",nm3322721,nm4324248
El ultimátum: Decir sí o decir adiós - Sudáfrica,tt18396952,"nm0005114,nm0591373,nm13578411",,
Líbranos del mal,tt2377322,"nm0051509,nm1183149,nm1601397",nm0220600,nm0220600
Secuestro del vuelo 601,tt28240840,"nm0519832,nm3727432,nm5597268",,nm8267221
Joshikousei no Mudazukai,tt10470444,"nm4533533,nm2955927,nm2944424",,
Bajo cero,tt9845564,"nm0349522,nm0253216,nm0130429",nm1589515,nm3281140
Anatomía del mal,tt0125896,"nm0444169,nm0759477,nm0744288",nm0561089,nm0561089
Los cambiadores de juego,tt7455754,"nm3757955,nm0000216,nm4962062",nm2694309,nm0598531
"Nam-soon, una chica superfuerte",tt29225198,"nm7686174,nm1390122,nm9186885",,nm7405428
Mar adentro,tt0369702,"nm0000849,nm0749104,nm0240318",nm0024622,nm0024622
Jugar en casa,tt14592064,"nm0416673,nm1210124,nm0001705",nm3057695,nm2636836
"Sex, Love, and goop",tt15470160,"nm0000569,nm10804254,nm4150033",,
Mentiras,tt0822833,"nm1832584,nm1869101,nm2304398",nm0016203,nm0016203
Amor para adultos,tt14592948,"nm1502469,nm1003081,nm2582459",nm0867784,nm10611786
Push,tt0465580,"nm1225406,nm0340408,nm0005023",nm0006476,nm0100027
Luna sin miel,tt0116289,"nm0000206,nm0000139,nm0000352",nm0047076,nm0047076
Vals navideño en París,tt27975905,"nm2373595,nm1285162,nm0293550",nm0198755,nm0078943
Lo dejo cuando quiera,tt8806768,"nm1992631,nm1238859,nm1685281",nm1724912,nm2661589
Tatuaje rehecho,tt14956090,"nm4593797,nm2090573,nm11619026",,
Sin respiro,tt14465894,"nm4151736,nm0008787,nm1044641",nm0089033,nm11006400
Nimona,tt19500164,"nm1631269,nm1981893,nm3631295",nm2939767,nm0047916
Jamie Foxx: What Had Happened Was...,tt34385018,"nm0004937,nm2433709,nm3181043",nm0357895,nm0004937
Kuroko no Basket,tt2348803,"nm2770525,nm2893431,nm2520926",,nm4992790
"Shin, abogado de divorcios",tt26225090,"nm1626041,nm5470717,nm0158648",,nm5587369
IC 814: The Kandahar Hijack,tt28106741,"nm3588089,nm0787462,nm1004985",,nm4661878
Nuestro horizonte azul,tt19115260,"nm0496932,nm1086555,nm1617711",,nm2344114
La bala perdida,tt10456740,"nm1839955,nm0245164,nm0066080",nm4962035,nm4962035
La herencia tiene un precio,tt30494321,"nm0211565,nm0278329,nm9491587",nm4996440,nm4996440
Suburbanos,tt5963298,"nm2325955,nm1229757,nm3496014",,nm2843240
Viaje al centro de la Tierra 2: La isla misteriosa,tt1397514,"nm0425005,nm0000323,nm1242688",nm0679031,nm0348160
Noches de encanto,tt1126591,"nm0000333,nm0004694,nm0199312",nm0031078,nm0031078
Los Mitchell contra las máquinas,tt7979580,"nm3434305,nm1104131,nm0748973",nm5106831,nm5106831
Homicidio,tt0106028,"nm0001938,nm0424800,nm0001433",,nm0001921
Rebel Moon (Parte dos): La guerrera que deja marcas,tt23137904,"nm1154749,nm0005023,nm4534098",nm0811583,nm0811583
Una serie de catastróficas desdichas,tt4834206,"nm0000439,nm0911320,nm5844090",,nm3321780
Supersexo,tt22325774,"nm2899175,nm0872910,nm0316271",,nm3812261
Pocoyó,tt0487849,"nm0000410,nm2075003,nm1345076",,nm0947602
El club de la medianoche,tt0137523,"nm0001570,nm0000093,nm0001533",nm0000399,nm0657333
El interés del amor,tt24224910,"nm1881661,nm3209606,nm10432848",,nm14346164
Ehrengard: El arte de la seducción,tt27727074,"nm7938141,nm12018673,nm0251553",nm0000806,nm2145370
Las de la última fila,tt15394254,"nm3188127,nm1060753,nm4078485",,nm0998110
Dampyr,tt10315050,"nm4178551,nm3516668,nm5435959",nm10587263,nm10686199
Acabo de matar a mi padre,tt21315194,"nm13941615,nm3304042,nm13937116",,
Narcos: México,tt8714904,"nm1058940,nm0946962,nm2338470",,nm0076166
Los reyes de oriente,tt33295797,"nm8016628,nm9785578,nm1120061",,nm16564211
Comida para Phil,tt7752034,"nm0742814,nm1128648,nm7761041",,nm1113444
Fidelidad,tt3955992,"nm0784589,nm0371867,nm0227997",nm0909099,nm6702918
Navidad contigo,tt15824322,"nm0305083,nm0005327,nm3849102",nm0846590,nm0267401
Los del túnel,tt5066598,"nm0885219,nm1832683,nm5131296",nm3173877,nm3174595
Pinocho de Guillermo del Toro,tt1488589,"nm0000191,nm0103195,nm9640481",nm0868219,nm0868219
John DeLorean: Un magnate de leyenda,tt14968268,"nm5055278,nm0274016,nm0373698",,
El fantasma,tt32146307,"nm0783839,nm3016484,nm0616391",nm5282928,nm1366813
"Espejismos digitales: Muertes, mentiras e Internet",tt20602042,"nm4806952,nm8396736,nm2406530",,
Britney vs. Spears,tt15469820,"nm0005453,nm5705851,nm1722936",nm5705851,nm0459381
"Woo, Una Abogada Extraordinaria",tt20869502,"nm3738785,nm7242666,nm7412707",,nm7925375
El robo de Maharaja,tt26548265,"nm4043111,nm0440604,nm1952830",nm9204865,nm9204865
Ángel Di María: Romper la pared,tt32809355,"nm4786071,nm2177779,nm14939242",,nm2434762
Juntos y revueltos,tt1086772,"nm0001191,nm0000106,nm0005265",nm0178997,nm0578771
Vjeran Tomic: El «hombre araña» de París,tt29274601,"nm15391582,nm10823173,nm5667069",nm7158029,
Pandilleros de Oslo,tt24364150,"nm14339109,nm14339110,nm14339111",,nm0256895
A desorde que deixas,tt9731242,"nm2285844,nm1036659,nm0636991",,nm0599413
Johnny English Returns,tt1634122,"nm0054087,nm0141422,nm0000100",nm0662529,nm0566100
Bastard!!,tt0103775,"nm0946295,nm0358460,nm0283253",,nm0353713
Hora punta 3,tt0293564,"nm0000676,nm0000329,nm0001884",nm0711840,nm0622288
Srikanth,tt23790740,"nm3822770,nm0433392,nm7775934",nm1571874,nm10876298
La playa de los ahogados,tt3721072,"nm0351029,nm0308272,nm0951958",nm0380547,nm0891819
"Bikram: Yogui, gurú, depredador",tt10883004,"nm11146807,nm11146800,nm11146803",nm0650321,
Nuevos ricos,tt0055662,"nm0001171,nm0752576,nm0235031",,nm0377417
I Kill Giants,tt4547194,"nm4068901,nm0757855,nm1782299",nm2225334,nm2399856
Bienvenidos a Edén,tt13457822,"nm3766704,nm7134654,nm10140376",,nm1126077
Una dosis diaria de sol,tt26258202,"nm3291520,nm5110174,nm8589353",,nm2031561
Mi adorable demonio,tt29569035,"nm2498552,nm8853855,nm9948498",,nm12036488
Negocio familiar: Viviendas de lujo,tt14746934,"nm3030824,nm14467381,nm14467380",,
Amor de gata,tt11958344,"nm1541331,nm5137121,nm2964162",nm0766218,nm2584046
Bailando con los pájaros,tt11101698,nm0000410,nm2142682,nm2142682
Su último deseo,tt7456312,"nm0004266,nm0000255,nm0001609",nm2011696,nm2124507
Violet Evergarden,tt7078180,"nm3426369,nm4808080,nm16390502",,nm9183441
Jurnal Risa by Risa Saraswati,tt28448409,"nm9614987,nm15065180,nm15065183",nm0559285,nm5193944
Mi Nombre,tt12940504,"nm9350760,nm1775551,nm1585711",,nm8687893
Einstein y la bomba,tt28756876,"nm1264521,nm0369854,nm4315848",nm1991221,nm1139208
Doctor Slump,tt27135274,"nm6027947,nm2339975,nm7094545",,nm5508038
Re/Member,tt21250176,"nm4388136,nm10631138,nm4679580",nm1729121,nm5260886
Toy Boy,tt8693266,"nm9855762,nm0144519,nm8061858",,nm0073172
Escuadrón de la muerte,tt0291155,"nm0021728,nm0736032,nm0830153",nm0348735,nm14443528
Sígueme el rollo,tt1564367,"nm0001191,nm0000098,nm0000173",nm0240797,nm1615610
El futuro de...,tt0100802,"nm0000216,nm0001797,nm0000232",nm0000682,nm0001140
New Gods: Nezha Reborn,tt13269670,"nm4354950,nm3979780,nm3419526",nm4368529,nm17018329
